Competency ,Question
Communication,"What challenges have occurred while you were coordinating work with other units, departments, and/or divisions? How did you address these challenges?"
Communication,What are the most challenging documents you have created? What kinds of proposals have you written?
Conflict Resolution,Describe a situation where you had to use conflict management skills.
Conflict Resolution,"Give me an example of a time when an organizational policy or action hurt people. What, if anything, did you do to mitigate the negative consequences for people?"
Conflict Resolution,How do you typically deal with conflict? Can you give me an example?
Conflict Resolution,Describe a time when you had to cope with the resentment or hostility of a subordinate or coworker.
Conflict Resolution,"Tell me about a time you had to handle a conflict in the workplace. What steps did you take to resolve the issue? Looking back, would you have done anything differently? Why?"
Decision Making,Discuss an important decision you have made regarding a task or project at work. What factors influenced your decision?
Decision Making,Tell me about a time where you made a poor decision. What happened? What did you learn?
Decision Making,Give an example of a time in which you had to be relatively quick in coming to a decision.
Decision Making,Give an example of a time when there was a decision to be made and procedures were not in place.
Decision Making,When was the last time you made a key decision in the spur of the moment? What was the reasoning and result?
Decision Making,How did you go about deciding what strategy to employ when dealing with a difficult client?
Decision Making,How do you involve your manager and/or others when you make a decision?
Decision Making,"In a current job task, what steps do you go through to ensure your decisions are correct and effective?"
Decision Making,Give me an example of a time when there was a decision to be made and procedures were not in place. How did you handle it? What was the outcome? 
Decision Making,Tell me about a time when you had to defend a decision you made even though other key decision-makers were opposed to your decision.
Decision Making,What's the most difficult decision you've made in the last two years and how did you come to that decision?
Decision Making,"On many occasions, managers have to make tough decisions. What was the most difficult one you have had to make?"
Delegation,Do you consider yourself a macro or micro manager? How do you go about delegating work?
Delegation,What was the biggest mistake you made when delegating work? The biggest success?
Delegation,This roll requires a great deal of delegating. Tell me about times in the past when you have had to use this skill. 
Delegation,How do you manage cross-functional teams?
Diversity and Inclusion ,"Give a specific example of how you have helped create an environment where differences are valued, encouraged and supported."
Diversity and Inclusion ,Describe a challenge you've had working on a diverse team.
Diversity and Inclusion ,Tell me about a time that you successfully adapted to a culturally different environment.
Diversity and Inclusion ,Tell me about a time when you had to adapt to a wide variety of people by accepting and/or understanding their perspective.
Diversity and Inclusion ,What have you done to further your knowledge and understanding of diversity? How have you demonstrated your learning?
Diversity and Inclusion ,What measures have you taken to make someone feel comfortable in an uncomfortable or hostile situation?
Diversity and Inclusion ,Describe a time you had to alter your workstyle to meet a diversity need or diversity challenge. What was the outcome?
Diversity and Inclusion ,What do you see as the most challenging aspect (s )of building and maintaining a diverse and inclusive organization?  Describe the steps you would take to meet the challenge?
Diversity and Inclusion ,"In your opinion, why is having a diverse and inclusive workforce important?"
Diversity and Inclusion ,What is your approach to undersatnding the perspectives of co-workers from different backgrounds than you?
Diversity and Inclusion ,"How would you advocate for diversity, equity, and inclusion among co-workers who do not understand its value?"
Diversity and Inclusion ,The Commonwealth has a diverse workforce and serves a diverse population. Can you tell us your experience working with and serving a diverse population?
Diversity and Inclusion ,When was the last Diversity training you attended and what did you take away from it?
General ,What interested you about this position? Why did you apply?
General ,What do you know about this secretariat/agency/department?
General ,What are you looking for in a new position?
General ,Is there anything else you feel is important for me to know about you?
General ,What kind of work are you interested in?
General ,Why are you looking to leave your current employer? 
Initiative,Give some instances in which you anticipated problems and were able to influence a new direction.
Initiative,What changes did you initiate and implement at your most recent place of employment?
Initiative,Describe a project or idea that was implemented primarily because of your efforts. What was your role? What was the outcome?
Initiative,"Whether it was in a current or previous role, tell me about an additional responsibility you decided to take on, even though it was not part of your role (and why?)."
Initiative,Tell me about a time when you were particularly effective in prioritizing tasks and completing a project on schedule.
Initiative,Tell me about the last time that you undertook a project that demanded a large amount of initiative.
Initiative,There are times when we work without close supervision or support to get the job done. Tell me about a time when you found yourself in such a situation and how things turned out.
Initiative,Give me an example of when you took a risk to achieve a goal. What was the outcome?
Initiative,Tell me about a time you took initiative to improve a current process or flag overlooked issues that wasn’t part of your day-to-day duties.  
Innovation,Can you think of a situation where innovation was required at work? What did you do in this situation?
Innovation,Describe a time when you came up with a creative solution/idea/project/report to a problem in your past work.
Innovation,Describe something that you have implemented at work. What were the steps used to implement this?
Innovation,"Sometimes it is essential that we break out of the routine, standardized way of doing things in order to complete the task. Give an example of when you were able to successfully develop such a new approach."
Innovation,Tell us about a suggestion you made to improve the way job processes/operations worked. What was the result?
Innovation,There are many jobs that require creative or innovative thinking. Give an example of when you had such a job and how you handled it.
Innovation,What innovative procedures have you developed? How did you develop them? Who was involved? Where did the ideas come from?
Integrity,We work with a great deal of confidential information. Describe how you have handled sensitive information in a past work experience. What strategies did you utilize to maintain confidentiality when pressured by others?
Integrity,"Give examples of how you have acted with integrity in your job/work relationship. If you can, tell about a time when your trustworthiness was challenged. How did you react and/or respond?"
Integrity,"On occasion, we are confronted by dishonesty in the workplace. Tell me about such an occurrence and how you handled it."
Integrity,Tell me about a specific time when you had to handle a tough problem which challenged fairness or ethics.
Internship Interviews,Why did you choose your particular major?
Internship Interviews,What interests you about this internship?
Internship Interviews,What are your career goals?  What would you like to be doing after graduation?
Internship Interviews,"Tell me about a time you had a particularly heavy course load, how did you manage your time?"
Internship Interviews,How does your extra-curricular activities prepare you for the workplace?
Internship Interviews,What skills are you hoping to learn from this internship?  How do you think this internship will fit in with your career plans?
Interpersonal Skills,Gaining the cooperation of others can be difficult. Give a specific example of when you had to do that and what challenges you faced. What was the outcome? What was the long-term impact on your ability to work with this person? 
Interpersonal Skills,"Tell me about the most difficult or frustrating individual that you've ever had to work with, and how you managed to work with them."
Interpersonal Skills,"It is very important to build good relationships at work, but sometimes it doesn't always work. Tell me about a time when you were not able to build a successful relationship with a difficult person."
Interpersonal Skills,Tell me about a time when you built rapport quickly with someone under difficult conditions.
Interpersonal Skills,"What, in your opinion, are the key ingredients in guiding and maintaining successful working relationships? Give examples of how you made these work for you."
Introducing Change,"Have you ever had to introduce a policy change, new idea, or procedure to your work group? How did you do it?"
Introducing Change,Have you ever met resistance when implementing a new idea or policy with a work group? How did you deal with it? What happened?
Leadership,Tell me about a time when you’ve shown leadership and influenced outcomes even when you had no official authority.
Leadership,"Give an example of your ability to build motivation in your co-workers, subordinates at work, classmates, or peers on a volunteer committee."
Leadership,Have you ever had difficulty getting others to accept your ideas? What was your approach? Did it work?
Leadership,Have you ever been a member of a group where two of the members did not work well together? What did you do to get them to do so?
Leadership,What is the toughest group that you have had to get cooperation from? Describe how you handled it. What was the outcome?
Management,Give an example of a time when you helped a staff member accept change and make the necessary adjustments to move forward. What were the skills that you used?
Management,How would you go about establishing your credibility quickly with the team?
Management,How do you handle performance reviews? Tell me about a difficult one.
Management,Tell us about a specific development plan that you created and carried out with one or more of your employees. What was the specific situation? What were the components of the development plan? What was the outcome?
Management,Tell me about a time when you had to take disciplinary action with someone you supervised.
Management,Tell me about a time when you had to tell a staff member that you were dissatisfied with his or her work.
Management,When do you give positive feedback to people? Tell me about the last time you did.
Management,Give an example of how you handle the need for constructive criticism with a subordinate or peer.
Management,Have you ever had a subordinate whose performance was consistently marginal? What did you do?
Management,How do you evaluate the productivity/effectiveness of your subordinates?
Management,How do you get data for performance reviews?
Management,How do you keep track of what your subordinates are doing?
Motivating Others,How do you get subordinates to produce at a high level/work at their peak potential? Give an example.
Motivating Others,Give an example of how you have been successful at empowering either a person or a group of people so that they could accomplish a task.
Motivation,"How would you define ""success"" for someone in your chosen career?"
Motivation,Tell me about an important goal that you set in the past. Were you successful? Why?
Motivation,What have you done to further your own professional development in the past five years?
Motivation,What are your career goals?  How do you see this role playing into those goals?
Motivation,How do you best handle tough deadlines?
Multitasking,How many projects do you work on at once? Please describe.
Multitasking,Which of your jobs had the most rapid change? How did you feel about it? How did you adjust?
Multitasking,What do you do when your schedule is interrupted?  How do you handle it?
Negotiating,Describe the most challenging negotiation in which you were involved. What did you do? What were the results for you? What were the results for the other party?
Negotiating,Describe a situation where you had to negotiate with someone. How did you feel about this? What did you do? How did you prepare for it? How did you present your position? How did you resolve it? What was the most difficult part?
Organization/Planning,Give me an example of a project that best describes your organizational skills.
Organization/Planning,What have you done in order to be effective with your organization and planning?
Organization/Planning,What techniques and tools do you use to keep yourself organized?
Organization/Planning,What do you do when your time schedule or project plan is upset by unforeseen circumstances? Give an example.
Organization/Planning,"If I were to talk with administrative assistants and/or supervisors you have had in the past, how would they describe your strengths and weaker points with respect to personal organization, communications, attention to detail, and planning?"
Personal Effectiveness/Self-Assessment,Tell me about a recent job or experience that you would describe as a real learning experience.
Personal Effectiveness/Self-Assessment,Tell me about a time when you took responsibility for an error and were held personally accountable.
Personal Effectiveness/Self-Assessment,Tell me about a time when your supervisor criticized your work. How did you respond?
Personal Effectiveness/Self-Assessment,Tell me about a time when you were under extreme pressure on the job and how you handled it.
Personal Effectiveness/Self-Assessment,"When you have been made aware of, or have discovered for yourself, a problem in your work performance, what was your course of action? Can you give an example?"
Personal Effectiveness/Self-Assessment,Can you recall a time when you were less than pleased with your performance?
Personal Effectiveness/Self-Assessment,"If there was one area you've always wanted to improve, what would that be?"
Personal Effectiveness/Self-Assessment,In what ways are you trying to improve yourself professionally?
Personal Effectiveness/Self-Assessment,What has been your major work related disappointment? What happened and what did you do?
Personal Effectiveness/Self-Assessment,What do you consider to be your professional strengths? Give me a specific example using this attribute in the workplace.
Personal Effectiveness/Self-Assessment,What goal have you set for yourself that you have successfully achieved?
Personal Effectiveness/Self-Assessment,What was the most useful criticism you ever received?
Personal Effectiveness/Self-Assessment,"If I looked at development suggestions from your evaluations at prior employers, what would I find?"
Personal Effectiveness/Self-Assessment,Tell us about setbacks you have faced. How did you deal with them?
Personal Effectiveness/Self-Assessment,What has your biggest achievement been in your current role? What results there that you produced are you most proud of?
Personal Effectiveness/Self-Assessment,"If I were to talk to your previous managers, what would they say are the things you are best at? What would they say you need to improve in?"
Personal Effectiveness/Self-Assessment,"In the jobs you have held in the past, which aspects have interested you the most?"
Personal Effectiveness/Self-Assessment,What skills from past your past experiences are most transferable/applicable to the role you are seeking?
Personal Effectiveness/Self-Assessment,What aspects of your current job do you have difficulty with?
Personal Effectiveness/Self-Assessment,What engages you about your current job?
Personal Effectiveness/Self-Assessment,"What assignment was too difficult for you, and how did you resolve the issue?"
Personal Effectiveness/Self-Assessment,Describe a time at work you made a mistake.  How did you handle it?
Personal Effectiveness/Self-Assessment,What kind of work environment do you like the best?
Personal Effectiveness/Self-Assessment,Please describe a time your work was criticized harshly?  How did you react to this feedback?
Persuasion,Describe a situation in which you were able to successfully influence the actions of others in a desired direction.
Persuasion,Describe a time when you were able to convince a skeptical or resistant client to purchase a project or utilize your services.
Persuasion,"Have you ever had to persuade a peer, manager, or group to accept an idea that you knew they would not like? Describe the resistance you met and how you overcame it. What was the result?"
Persuasion,Tell me about a time when you had to convince someone in a position of authority to accept your ideas. What was the outcome?
Persuasion,Tell me about a time when you used facts and reason to persuade someone to accept your recommendation.
Persuasion,Tell me about a time when you used your leadership ability to gain support for what initially faced strong opposition.
Presentation,How do you prepare for a presentation to a group of technical experts in your field?
Presentation,How would you describe your presentation style?
Presentation,Tell us about the most effective presentation you have made. What was the topic? What made it difficult? How did you handle it?
Presentation,What kinds of oral presentations have you made? How did you prepare for them? What challenges did you have?
Problem-solving,Have you ever been caught unaware by a problem or obstacles that you had not foreseen? What happened?
Problem-solving,Give a specific example of a time when you used good judgment and logic in solving a problem.
Problem-solving,Some problems require developing a unique approach. Tell about a time when you were able to develop a different problem-solving approach.
Problem-solving,Tell me about a time when you identified a potential problem and resolved the situation before it became serious.
Problem-solving,When was the last time you were in a work-related crisis? What was the situation? How did you respond?
Problem-solving,"Tell me about a problem you had to solve in a previous job?  How did you identify the problem? What steps did you take and why did you take them to solve the problem?  Looking back, would you have done anything different? Why?"
Project Management,Describe how you develop a project team's goals and project plan.
Project Management,Describe a complex challenge you have had coordinating a project.
Project Management,Tell me about a time when you influenced the outcome of a project by taking a leadership role.
Project Management,What was the last project you led? What was the outcome?
Project Management,"Using a specific example of a project, tell how you kept those involved informed of the progress."
Setting Goals,What company or departmental goals have you developed in your past roles? Which ones have you reached? How did you reach them? Which have you missed? Why did you miss them?
Setting Goals,What were your annual performance goals at your most current employer? How did you develop these goals?
Sound Judgment,Describe a situation when you had to exercise a significant amount of self-control.
Sound Judgment,When have you had to produce results without sufficient guidelines? Give an example
Strategic Planning,Describe what steps you have followed or methods you have used to define a vision for your unit or position.
Strategic Planning,How do you see your job relating to the overall goals of the organization?
Strategic Planning,"In your current or former position, what were your long and short-term goals?"
Strategic Planning,Tell us about a time when you anticipated the future and made changes to current responsibilities and operations to meet future needs.
Stress Management,How do you react when faced with constant time pressure? Give an example.
Stress Management,People react differently when job demands are constantly changing. How do you generally react?
Stress Management,What kind of events cause you stress on the job?
Stress Management,What was the most stressful situation you have faced? How did you deal with it?
Teamwork,Describe a situation in which you had to arrive at a compromise or help others to compromise. What was your role? What steps did you take? What was the end result?
Teamwork,Describe a team experience you found disappointing. What would you have done to prevent this?
Teamwork,Describe the types of teams you've been involved with. What were your roles?
Teamwork,Describe your leadership style and give an example of a situation when you successfully led a group.
Teamwork,Give an example of how you have been successful at empowering a group of people in accomplishing a task.
Teamwork,Give an example of how you worked effectively with people to accomplish an important result.
Teamwork,Have you ever been a project leader? Give examples of problems you experienced and how you reacted.
Teamwork,Have you ever been in a position where you had to lead a group of peers? How did you handle it?
Teamwork,Have you ever participated in a taskforce? What was your role? How did you contribute?
Teamwork,Tell us about a time when you had to work on a team that did not get along. What happened? What role did you take? What was the result?
Teamwork,Tell us about the most difficult challenge you faced in trying to work cooperatively with someone who did not share the same ideas? What was your role in achieving the work objective?
Teamwork,"Tell us about the most difficult situation you have had when leading a team. What happened and what did you do? Was it successful? Emphasize the ""single"" most important thing you did."
Teamwork,Tell us about the most effective contribution you have made as part of a task group or special project team.
Teamwork,Think about the times you have been a team leader. What could you have done to be more effective?
Teamwork,"What is the difficult part of being a member, not leader, of a team? How do you handle this?"
Teamwork,What role have you typically played as a member of a team? How did you interact with other members?
Teamwork,When working on a team project have you ever had an experience where there was strong disagreement among team members? What did you do?
Time Management,Describe a situation that required you to do a number of things at the same time. How did you handle it? What was the result?
Time Management,How do you determine priorities in scheduling your time? Give an example.
Time Management,How do you typically plan your day to manage your time effectively?
Time Management,"Of your current assignments, which do you consider to have required the greatest amount of effort with regard to planning and organization? How have you accomplished this assignment? How would you assess your effectiveness?"
Time Management,"Describe how you would handle a situation if you were required to finish multiple tasks by the end of the day, and there was no conceivable way that you could finish them."
Initiative,Describe the most significant or creative presentation/idea that you developed/implemented. 
Initiative,Describe a time when you came up with a creative solution/idea/project/report to a problem in your past work. 
Initiative,Tell me about a time when you created a new process or program that was considered risky. What was the situation and what did you do? 
Initiative,Can you give me an example of how you have been creative in completing your responsibilities? 
Innovation,Can you think of a situation where innovation was required at work? What did you do in this situation? 
Initiative,Tell me about a suggestion you made to improve the way job processes/operations worked. What was the result? 
Initiative,Tell me about one of your workplace improvements that another department now uses. 
Initiative,Give me an example when you initiated a change in process or operations. 
Initiative,"In your last job, what problems did you identify that had previously been overlooked? Were changes made? Who supported the changes as a result of your ideas? "
Initiative,Describe something you have implemented at work. What were the steps you used to implement this? 
Initiative,Give me an example of a time when there was a decision to be made and procedures were not in place? What was the outcome? 
Initiative,Tell me about a time when you were asked to complete a difficult assignment even though the odds were against you. What did you learn from that experience? 
Project Management,Describe a long-term project that you managed. How did you keep everything moving along in a timely manner?
Initiative,Give me an example of a time you were able to be creative with your work. What was exciting or difficult about it?
Leadership,What has been your greatest leadership achievement in a professional environment? Talk through the steps you took to reach it.
Leadership,"As a leader within an organization, you must often build support for goals and projects from people who do not report to you and over whom you have no authority. Tell me about a situation in which you demonstrated that you can build the needed support."
Leadership,What are the three most important values you demonstrate as a leader? Tell me a story that demonstrates each of these leadership values in practice within your workplace.
Client Relations/Customer Service,Give me a specific example of a time when you had to address an angry customer. What was the problem and what was the outcome? How would you assess your role in defusing the situation? 
Client Relations/Customer Service,Give me an example of when you initiated a change in process or operations in response to customer feedback. 
Analytical Thinking,Give me a specific example of a time when you used good judgment and logic in solving a problem. 
Problem-solving,How do you go about solving problems at work?
Problem-solving,Tell me about a specific time when you eliminated or avoided a potential problem before it happened. 
Problem-solving,What types of problems do you most enjoy tackling? Give me some examples of such problems you faced. What did you enjoy about them? 
Problem-solving,What types of problems do you least enjoy tackling? Give me some examples of such problems you faced. What was it about the problems that you least enjoyed? 
Problem-solving,To whom did you turn for help the last time you had a major problem and why did you choose that person? 
Attention to Detail,In some aspects of work it is important to be free of error. Can you describe a situation where you have tried to prevent errors? What did you do? What was the outcome? 
Setting Goals,"Give me an example of an important goal that you had set in the past, and tell me about your success in reaching it. "
Project Management,What projects were accomplished during your previous job? How were these accomplished? What experiences did you have when meeting deadlines for project completion? Explain.  
Multitasking,"Are you better at working on many things at a time, or are you better at working on and getting results on a few specific things? Please give me two examples that illustrate this. "
Personal Effectiveness/Self-Assessment,What do you consider your greatest accomplishments in your current/previous position? 
Conflict Resolution,Give me an example of when you ‘went to the source’ to address a conflict. Do you feel trust levels were improved as a result?
Introducing Change,"Describe a time when your team or company was undergoing some change. How did that impact you, and how did you adapt?"
Interpersonal Skills,Please give me your best example of working cooperatively as a team member to accomplish an important goal. What was the goal or objective? What was your role in achieving this objective? To what extent did you interact with others on this project? 
Interpersonal Skills,Describe a project you were responsible for that required a lot of interaction with people over a long period of time. 
Interpersonal Skills,"Tell me about a course, work experience, or extracurricular activity where you had to work closely with others. How did it go? How did you overcome any difficulties? "
Integrity,Give me examples of how your have acted with integrity (walked your talk) in your job/work relationship. 
Conflict Resolution,Can you explain a time when you had a conflict with a co-worker and how you overcame that conflict?
Motivating Others,How have you recognized and rewarded a team player in the past? What was the situation? 
Motivating Others,Setting high expectations implies you believe the employee can deliver. Give me an example of having done this. 
Motivating Others,Give me an example of how you and your staff have celebrated success in the past. What was the occasion? 
Motivating Others,Tell me about a time when you were able to provide a co-worker/employee with recognition for the work they performed. What did you do? 
Motivating Others,What consistent methods do you use to ensure that staff feels valued for their contributions?
Motivating Others,"Tell me about a time when you created a new process or program that was considered risky. (What was the situation, what did you do and how were you able to persuade others it was ultimately a good idea?)."
Communication,Keeping others informed of your progress/actions helps them feel comfortable. Tell me your methods for keeping your supervisor advised of the status on projects. 
Interpersonal Skills,Trust requires personal accountability. Can you tell me about a time when you chose to trust someone? What was the outcome? 
Adaptability ,"By providing examples, demonstrate that you can adapt to a wide variety of people, situations and/or environments. "
Adaptability ,What do you do when priorities change quickly? Give me one example of when this happened. 
Adaptability ,Tell me about a specific time when you were given new information that affected a decision that you had already made. 
Innovation,Describe the most significant or creative presentation/idea that you developed/implemented. 
Innovation,Describe a time when you came up with a creative solution/idea/project/report to a problem in your past work. 
Innovation,Can you give me an example of how you have been creative in completing your responsibilities? 
Innovation,Can you give me an example of how you have been creative in completing your responsibilities? 
Innovation,Tell me about one of your workplace improvements that another department now uses. 
Innovation,Give me an example of a time you were able to be creative with your work. What was exciting or difficult about it?
Decision Making,Tell me about a decision you made while under a lot of pressure. 
Decision Making,Describe a decision you made or a situation that you would have handled differently if you had to do it over again. 
Decision Making,Give me an example of a time when there was a decision to be made and procedures were not in place? What was the outcome? 
Leadership,What has been your greatest leadership achievement in a professional environment? Talk through the steps you took to reach it.
Leadership,"As a leader within an organization, you must often build support for goals and projects from people who do not report to you and over whom you have no authority. Tell me about a situation in which you demonstrated that you can build the needed support."
Leadership,What are the three most important values you demonstrate as a leader? Tell me a story that demonstrates each of these leadership values in practice within your workplace.
Employee Development,Tell me about a time when you needed to give feedback to an employee with emotional or sensitive problems. Was the outcome? 
Project Management,Describe a long-term project that you managed. How did you keep everything moving along in a timely manner?
Stress Management,What has been the most stressful situation you have ever found yourself in at work? How did you handle it?
Career Development,What have you done to further your own professional development in the last 5 years?
Career Development,I noticed on your resume that you attended _____________ training program. Please describe the training program. How have you applied what you learned to your current job?
Personal Effectiveness/Self-Assessment,What three adjectives would your co-workers describe you as?
Personal Effectiveness/Self-Assessment,What do you consider your greatest accomplishment(s) in your current/previous position? 
Personal Effectiveness/Self-Assessment,Discuss the highlights of your most recent educational experience. Did you accomplish any special achievements? What were your most difficult challenges? 
Personal Effectiveness/Self-Assessment,"When you have been made aware of, or have discovered for yourself, a problem in your work performance, what was your course of action? Can you give me an example? "
Personal Effectiveness/Self-Assessment,Tell me about a time when your supervisor/co-workers gave you feedback about your work/actions. What did you learn about yourself? 
Personal Effectiveness/Self-Assessment,Tell me about a job that you had which required you to learn new things. 
Personal Effectiveness/Self-Assessment,Tell me about a recent job or experience that you would describe as a real learning experience. What did you learn from the job or the experience? 
Personal Effectiveness/Self-Assessment,Tell me about a time when your coworkers gave you feedback about your actions. How did you respond? What changes did you make? 
Initiative,Give me an example when you initiated a change in process or operations. 
Initiative,"In your last job, what problems did you identify that had previously been overlooked? Were changes made? Who supported the changes as a result of your ideas? "
Conflict Resolution,"Tell me about a time when you had to give the ""benefit of the doubt"" to a co-worker/supervisor. What was the outcome? "
Conflict Resolution,"If you disagreed with something that your boss was doing or has asked you to do, how would you approach the situation?"
Conflict Resolution,Tell me about a time when you had to resolve a difference of opinion with a co-worker/customer/supervisor. How do you feel you showed respect? 
Conflict Resolution,"Describe the way you handled a specific problem involving others with differing values, ideas and beliefs in your current/previous job. "
Initiative,Tell me about a suggestion you made to improve the way job processes/operations worked. What was the result? 
Innovation,Tell me about a time when you created a new process or program that was considered risky. What was the situation and what did you do? 
Initiative,Describe something you have implemented at work. What were the steps you used to implement this? 
Personal Effectiveness/Self-Assessment,Tell me about a time when you were asked to complete a difficult assignment even though the odds were against you. What did you learn from that experience? 
