計畫名稱,所屬科室,計畫別,目的,申請資格及條件,給付標準,給付期限,應備文件,申請方式,計畫窗口,電話
Plan11,諮詢服務及給付科,青年職得好評計畫,協助失業青年釐清職涯發展方向、提升求職技巧，並運用工作卡(職涯履歷表)展現個人就業優勢，以解決青年尋職困難問題。,"一、親自向公立就業服務機構辦理求職登記及申請參加本計畫。
二、於參加計畫期間，應接受公立就業服務機構提供3次以上之深度就業諮詢服務及就業準備相關措施。
三、應於公立就業服務機構初次開立介紹卡或於訓練期間中途離（退）訓、結訓或職場學習結束之次日起90日內就業",青年在完成深度就業諮詢後3個月內找到工作，且受僱連續達3個月以上並依法參加就業保險，則可向公立就業服務機構申請發給尋職就業獎勵金3萬元。,1次性給付。,"一、申請參加計畫：
（一）申請書。
（二）國民身分證正反面影本。
（三）最高學歷畢（肄）業證書影本。
（四）其他本計畫規定之文件。
二、申請津貼：
（一）申請書。
（二）領據。
（三）本人之國內金融機構存摺封面影本。
（四）其他本計畫規定之文件。",臨櫃申請,"業務輔導員
林美雲",(02)8995-6399分機1415
Plan12,諮詢服務及給付科,失業給付,為保障勞工於失業一定期間之基本生活,被保險人於非自願離職辦理退保當日前3年內，保險年資合計滿1年以上，具有工作能力及繼續工作意願，向公立就業服務機構辦理求職登記，自求職登記之日起14日內仍無法推介就業或安排職業訓練。,退保之當月起前6個月平均月投保薪資60%按月發給，有受其扶養之眷屬者，每1人按申請人離職辦理本保險退保之當月起前6個月平均月投保薪資10%加給給付，最多計至20%。,最長發給6個月。但申請人離職辦理本保險退保時已年滿45歲或領有社政主管機關核發之身心障礙證明者，最長發給9個月。,"一、失業（再）認定、失業給付申請書及給付收據。
二、離職證明書或定期契約證明文件。
三、國民身分證或其他身分證明文件影本。
四、被保險人本人名義之國內金融機構存摺影本。但匯款帳戶與其請領職
    業訓練生活津貼之帳戶相同者，免附。
五、身心障礙者，另檢附社政主管機關核發之身心障礙證明。
六、有扶養眷屬者，另檢附下列證明文件：
（一）受扶養眷屬之戶口名簿影本或其他身分證明文件影本。
（二）受扶養之子女為身心障礙者，另檢附社政主管機關核發之身心障礙
      證明。",1.臨櫃申請  2.視訊辦理,科員郭忠彥,(02)8995-6399分機1412
Plan13,訓練推廣科,失業者職業訓練,為協助國內失業者能接受適性與適訓之職業訓練，取得就業技能與充分就業，本分署委託適格之訓練單位提供年滿15歲以上失業者適合參加之失業者職前訓練課程，使失業者習得就業技能，以充分就業。,"失業者如有下列情事之一者，不得報名：
(1)報名班次之開訓日尚於前次完訓或結訓班次之訓後180日內。
(2)曾參加職前訓練課程而被退訓，其退訓日尚於報名班次之開訓日
前1年內。
(3)重覆參加相同班名之職前訓練課程，且其離、退訓日(不含適應
期內離訓)、完訓日或結訓日尚於報名班次之開訓日前3年內。
(4)報名班次之開訓日前2年內，已有2次以上離訓、退訓、完訓或
結訓之職前訓練參訓紀錄。",無資料,無資料,1.報名表(並出示身分證明文件)。2.繳交簽名切結之「報名參訓切結書」，因故未能於報名當日繳交者，最遲應於筆試前繳交。3.具「非自願離職身分」者必須繳交「職訓推介單」，具「長期失業身分」者必須繳交「求職登記證明文件」。4.其他應備文件。,向委訓單位提出,無資料,無資料
Plan14,就業促進科,缺工就業獎勵,鼓勵失業勞工受僱特定行業(即3K產業)從事工作，紓緩特定行業缺工情形。,"1. 於同一雇主連續就業滿30日。
2. 平均每週工作時間達35小時以上(特定製造業工作)或每月薪資不低於本部公告之每月基本工資(照顧服務業工作)。
3. 已依法參加就業保險及勞工職業災害保險。","最長發給18個月，最高發給10萬8千元，每月金額如下：
1. 任職第1個月~第6個月：
每月核發5,000元。
2. 任職第7個月~第12個月：
每月核發6,000元。
3. 任職第13個月~第18個月：
每月核發7,000元。",獎助期限：最長18個月。,"應備申請文件：
1. 國民身分證或有效期間居
留證明文件影本。
2. 津貼申請書及領取收據。
3. 從事照顧服務工作之相關
資格證明文件影本。(照顧
服務業)
4. 薪資證明文件影本。
5. 勞工本人名義之國內金融
機構存摺封面影本。
6. 同意代為查詢勞工保險資
料委託書。
7. 其他經本部規定之文件。","(一)符合資格之失業勞工向公立就業服務機構辦理求職登記，經公立就業服務機構諮詢，並發給特定行業推介卡。
(二)勞工受僱於同一雇主連續達30日以上，且平均每週工時達35小時以上及符合相關規定，於受僱每滿30日之次日起90日內，得檢附相關文件，向公立就業服務機構申請津貼。",無資料,無資料
Plan15,就業促進科,照顧服務就業獎勵,為協助失業勞工就業及充實照顧服務人力，鼓勵失業勞工投入居家式、社區式及照顧機構等長照單位從事照顧服務工作。 ,"1. 於同一雇主連續就業滿30日。
2. 平均每週工作時間達35小時以上(特定製造業工作)或每月薪資不低於本部公告之每月基本工資(照顧服務業工作)。
3. 已依法參加就業保險及勞工職業災害保險。","最長發給18個月，最高發給10萬8千元，每月金額如下：
1. 任職第1個月~第6個月：
每月核發5,000元。
2. 任職第7個月~第12個月：
每月核發6,000元。
3. 任職第13個月~第18個月：
每月核發7,000元。",獎助期限：最長18個月。,"應備申請文件：
1. 國民身分證或有效期間居
留證明文件影本。
2. 津貼申請書及領取收據。
3. 從事照顧服務工作之相關
資格證明文件影本。(照顧
服務業)
4. 薪資證明文件影本。
5. 勞工本人名義之國內金融
機構存摺封面影本。
6. 同意代為查詢勞工保險資
料委託書。
7. 其他經本部規定之文件。","(一)符合資格之失業勞工向公立就業服務機構辦理求職登記，經公立就業服務機構諮詢，並發給特定行業推介卡。
(二)勞工受僱於同一雇主連續達30日以上，且平均每週工時達35小時以上及符合相關規定，於受僱每滿30日之次日起90日內，得檢附相關文件，向公立就業服務機構申請津貼。",無資料,無資料
Plan16,產學培力中心,產業新尖兵計畫,為協助青年掌握國家產業發展契機，引領取得5+2產業及具發展前景之製造產業之關鍵技術能力。,"1.不得為日間部在學學生。
2.參加本計畫之青年於訓練期間不得為在職勞工、自營作業者、公司或行（商）號負責人。
3.青年參加本署、分署及各直轄市、縣(市)政府依失業者職業訓練實施基準辦理之職前訓練(以下簡稱職前訓練)者，於結訓後一百
八十日內，不得參加本計畫。
4.青年參加本署其他職業訓練期間，不得參加本計畫。
5.青年參加本計畫以1次為限，曾中途離訓、退訓或曾參加產業新尖兵試辦計畫者，不得再參加本計畫。","補助每一參訓青年自付額及訓練單位所代墊之訓練費用合計
最高十萬元。",補助1次為限,無資料,青年至台灣就業通點選計畫課程報名,"業務督導員
林以硯",02-89956399#1805
Plan17,產學培力中心,青年就業旗艦計畫,針對15至29歲缺乏工作經驗或專業技能之青年，結合產業資源，由訓練單位依據用人需求，辦理先僱後訓的「工作崗位訓練」，提供青年務實致用之職業訓練，同時提升事業單位僱用青年之意願。,"參訓者有下列情事之一者，不得參加本計畫：
1.日間部在學學生。
2.曾經參加本計畫且中途自行離訓達二次。
3.參訓前於同一訓練單位離職未滿一年。
4.同一時間已參加本署僱用獎助。
5.參加本署自行辦理、委託辦理及補助之職前訓練，結訓後一百八十日內。",無資料,無資料,無資料,符合適用對象資格之青年應加入本計畫網站會員，並以網路報名參訓。,"業務輔導員
賴羿巧",02-89956399#1823
Plan18,特定對象及學員輔導科,婦女再就業計畫(2023-2026)-自主訓練獎勵,為促進婦女再就業，配合國內疫後缺工各項措施，運用自主訓練獎勵、再就業獎勵及雇主工時調整獎勵等措施，提升勞動力參與率，並紓緩國內缺工情形，補充人力供給。,"第1次獎勵:婦女完成審核通過之自主訓練，並檢附結訓證書或證明、自主訓練心得報告、就業規劃及辦理求職登記，並於訓練期滿之次日起30日內申請
第2次獎勵:婦女完成自主訓練之次日起180日內，經公立就業服務機構推介或自行就業者，於就業次日起30日內，向原申請自主訓練獎勵之發展署所屬公立就業服務機構申請

註:不得與以下計畫重複
(一)失業者職前訓練計畫。
(二)充電起飛計畫之訓練費用補助。
(三)推動事業單位辦理職前培訓計畫之訓練費用補助。
(四)推動工會團體辦理失業者職業訓練計畫之訓練費用補助。
(五)推動辦理原住民失業者職業訓練作業規定之訓練費用補助。
(六)失業青年職前訓練獎勵要點之學習獎勵金。
(七)辦理照顧服務職類職業訓練補助要點之訓練費用補助。
(八)補助地方政府辦理照顧服務員專班訓練計畫之訓練費用補助。
(九)補助地方政府辦理照顧服務員用人單位自訓自用訓練計畫之訓練費用補助。
(十)專案缺工職業訓練試辦計畫之訓練費用補助。
(十一)其他政府機關相同性質之補助或津貼。",第1次獎勵發給2萬元，第2次獎勵發給1萬元，共計3萬元,"第1次獎勵：訓練期滿之次日起30日內申請

第2次獎勵：完成自主訓練之次日起180日內，經公立就業服務機構推介或自行就業者，於就業次日起30日內，向原申請自主訓練獎勵之發展署所屬公立就業服務機構申請","一、申請階段：
(一)自主訓練獎勵申請書及計畫書。
(二)身分證明或居留證明文件之影本。
(三)同意代為查詢就業保險、勞工保險及勞工職業災害保險資料委託書。
(四)其他足資證明因家庭因素退出勞動市場之資料或切結書。
(五)其他經發展署規定之文件

二、申請獎勵階段：
(一)結訓證書或證明
(二)自主訓練心得報告
(三)就業規劃及辦理求職登記證明
(四)其他經發展署規定之文件",民眾自行至發展署官網下載計畫相關表單填寫申請，填寫完畢後郵寄或親送至各分署，書面審查,"業務輔導員
林玉婷
",02-8995-6399#1523
Plan19,特定對象及學員輔導科,婦女再就業計畫(2023-2026)-婦女再就業獎勵,為促進婦女再就業，配合國內疫後缺工各項措施，運用自主訓練獎勵、再就業獎勵及雇主工時調整獎勵等措施，提升勞動力參與率，並紓緩國內缺工情形，補充人力供給。,"向公立就業服務機構辦理求職登記，並經推介穩定就業

1、按月計酬全時工作：受僱期間連續滿90日，且工資不低於本部公告之每月基本工資
2、部分工時工作：受僱期間滿90日，且時薪不得低於本部公告之每小時基本工資；每月領取工資合計應達本部公告之每月基本工資二分之一以上

註:不得與以下計畫重複
(一)鼓勵失業勞工受僱特定行業作業要點之就業獎勵。
(二)鼓勵失業勞工受僱照顧服務業作業要點之就業獎勵。
(三)專案缺工就業獎勵試辦實施要點之就業獎勵。
(四)施用毒品者就業服務計畫之就業獎勵。
(五)取得重點產業職類技術士證及穩定就業獎勵試辦計畫之就業獎勵金。
(六))其他政府機關相同性質之補助或津貼。","每人每一年度最高發給3萬元。 
(一) 全時工作者，每次新臺幣3萬元。 
(二) 部分工時工作者，每次1萬5,000元。",受僱期間滿90日之次日起90日內," (一)再就業獎勵申請書。
 (二)身分證明或居留證明文件之影本。
 (三)工資證明文件影本。
 (四)本人名義之國內金融機構存摺封面影本。
 (五)同意代為查詢就業保險、勞工保險及勞工職業災害保險資料委託書。
 (六)其他經發展署規定之文件。",向公立就業服務機構辦理求職登記,"業務輔導員
林玉婷
",02-8995-6399#1523
Plan20,自辦訓練科,失業者職業訓練,為協助國內失業者能接受適性與適訓之職業訓練，取得就業技能與充分就業，本分署運用運用自有訓練設施提供年滿15歲以上失業者適合參加之失業者職前訓練課程，使失業者習得就業技能，以充分就業。,"(一)以失業者為招生對象，在職勞工、自營作業者、公司或行(商)號負責人，不得報名參加職前訓練。
 (二)以年滿15歲（含）以上、具工作意願且工作技能不足之失業者，並符合下列資格之一者：
 1.具中華民國國籍。
 2.新住民：(1)與在中華民國境內設有戶籍之國民結婚，且獲准在臺灣地 區居留之外國人、大陸地區人民、香港或澳門居民。(2)前目之外國人、大陸地區人民、香港或澳門居民，與其配 偶離婚或其配偶死亡，而依法規規定得在臺灣地區繼續居 留工作者。
 3.經入出國及移民法第16條第3項或第4項規定許可其居留之下 列對象之一：(1)泰國、緬甸地區單一中華民國國籍之無戶籍國民。(2)泰國、緬甸、印度或尼泊爾地區無國籍人民，且已依就業 服務法第51條第1項第1款規定取得工作許可者。
 4.跨國(境)人口販運被害人，並取得工作許可者。
 5.因職業傷害或罹患職業疾病，經醫師診斷喪失部分工作能力， 其失能程度符合勞工保險失能給付標準第二等級至第十五等級 規定之項目，且未經雇主依就業服務法第56條第1項規定通知 連續曠職3日失去聯繫者。",無資料,無資料,1.報名表(並出示身分證明文件)。2.繳交簽名切結之「報名參訓切結書」，因故未能於報名當日繳交者，最遲應於筆試前繳交。3.具「非自願離職身分」者必須繳交「職訓推介單」，具「長期失業身分」者必須繳交「求職登記證明文件」。4.其他應備文件。,"1.網路報名：由台灣就業通網站線上報名。
 2.現場報名：請至本分署個訓練場與就業中心現場報名。
 3.通訊報名：請填妥報名表，掛號郵寄至(24129)新北市新莊區中平路439號南棟3樓自辦訓練科收。
 4.傳真報名：請填妥報名表，傳真至(02)89*95-6373本分署自辦訓練科。",科員李俊賢,02-8995-6399#1256
Plan21,自辦訓練科,其他,透過「先訓、再用、後學」的機制，能使學員的實務與理論能夠兼得，讓「學用落差」與「訓用落差」得以有效的縮短，充分落實「學訓用合一」的目標，以達成「學以致用」的目的。,取得結訓證書或參訓證明，且缺席時數未超過訓練總時數百分之十及曠課時數未超過訓練總時數百分之四，並填寫參訓學員滿意度調查表,以訓練單位辦理訓練收費標準，補助每一學員全額之訓練費用。(訓練費用不包含住宿生冷氣費用),,無資料,向產學攜手合作計畫2.0之合作學校官網報名,"業務輔導員
 羅小雯",(02)2901-8274分機2554
Plan22,就業促進科,微型創業鳳凰貸款,為提升我國女性、中高齡國民及設籍離島居民勞動力參與率，建構創業友善環境，協助發展微型企業，創造就業機會，提供創業陪伴服務、創業貸款利息補貼及融資信用保證專案。,"1.3年內曾參與政府創業研習課程至少18 小時
2.未擔任其他事業負責人
3.所營事業設立登記未超過5年
4.所營事業員工數（不含負責人）未滿5人",最高額度200萬元，貸款利率依中華郵政股份有限公司2年期定期儲金機動利率加0.575%機動計息，前2年之利息由勞動部勞動力發展署全額補貼。,貸款年限7年,"1.貸款申請書及創業貸款計畫書一份
2.稅籍登記證明及所經營事業主管機關核准文件影本一份
3.切結書正本一份
4.國民身分證正反面影本一份
5.最近三個月內申請人及所營事業之財團法人金融聯合徵信中心綜合信用報告影本各一份
6.本部或政府機關（構）三年內辦理之創業研習課程證明文件影本一份
7.設籍於離島之居民者，應另檢附三個月內戶籍謄本一份",各分署在地服務窗口收件(郵寄或親送),"業務輔導員
蔡宛芯",(02)8995-6399分機1457
Plan23,就業促進科,就業保險失業者創業協助,為失業之就業保險被保險人建構創業友善環境，創造就業機會，提供創業陪伴服務及融資信用保證專案。,"1.失業之就業保險被保險人
2.創業登記前14日內未擔任其他事業負責人
3.創業登記前14日內未投就保 
4.3年內曾參與政府創業研習課程至少18小時",最高額度200萬元，貸款利率依中華郵政股份有限公司2年期定期儲金機動利率加年息0.575%機動計息。貸款期間前3年利息由勞動部全額補貼；第4年起負擔年息1.5%，利息差額由勞動部補貼，但年息低於1.5%時，由貸款人負擔實際全額利息。,貸款年限7年,"1.就業保險被保險人投保資料
2.創業計畫書
3.所創營利事業主管機關登記文件影本
4.國民身分證正反面影本
5.三個月內申請人個人及所營事業之財團法人金融聯合徵信中心綜合信用報告影本
6.就業保險失業者創業貸款切結書正本
7.本部或政府機關(構)創業研習課程之時數證明文件影本",各分署在地服務窗口收件(郵寄或親送),"業務輔導員
蔡宛芯",(02)8995-6399分機1457
Plan24,就業促進科,失業中高齡者及高齡者創業貸款,為協助失業之中高齡者及高齡者穩定事業經營，舒緩創業初期之資金壓力，辦理失業中高齡者及高齡者創業貸款及提供利息補貼。,"1.登記為所營事業之負責人，並有實際經營該事業之事實
2.未同時經營其他事業
3.3年內曾參與政府創業研習課程至少18 小時
4.所營事業設立登記未超過5 年
5.所營事業員工數(不含負責人)未滿5人",最高額度200萬元，貸款利率依中華郵政股份有限公司2年期定期儲金機動利率加0.575%機動計息，前2年之利息由勞動部勞動力發展署全額補貼。,貸款年限7年,"1.創業計畫及貸款申請書
2.勞工保險被保險人投保資料
3.稅籍登記證明及所營事業主管機關核准文件影本
4.切結書正本
5.國民身分證正反面影本。但中高齡者及高齡者就業促進法第4條第2款、第3款所定對象且為失業者，應檢附6個月以上有效期限之居留證及3個月內依親戶籍謄本
6.最近3個月內申請人個人及所營事業之財團法人金融聯合徵信中心綜合信用報告影本各1份
7.本部或政府機關(構)3年內辦理之創業研習課程證明文件影本。",各分署在地服務窗口收件(郵寄或親送),"業務輔導員
蔡宛芯",(02)8995-6399分機1457
